delta,theta,alpha,beta,mano
0.4238987450228793,-0.157026264239629,-0.5523118385105166,-0.7719432424110827,close
0.16403268174501134,-0.34471693661026637,-0.6271303012282,-0.6011336251419842,close
0.14210722806714415,-0.565494402478081,-0.4400661891515756,-0.73340224737659,close
0.29412532406079545,-0.3057558769429521,-0.5326283873602808,-0.7669046841482021,close
0.4168010417741447,-0.4558052169399991,-0.7814785072695494,-0.8129638956180231,close
0.28014692106134603,-0.043364157734269465,-0.25953714695863944,-0.611530083326963,close
0.23743216861142236,-0.3276669634146148,-0.5680281700029747,-0.8354487173532222,close
0.27424850598782125,-0.3792009106199683,-0.28397993407728395,-0.6612685899124965,close
0.33589518405130997,-0.2998876867159799,-0.5776210346231234,-0.7454735930866877,close
0.436638168435499,-0.2568743080617479,-0.3694183287953034,-0.7880693733799818,close
0.08722077715431854,0.06338564699919676,-0.35479197655989464,-0.6856370021443798,close
0.38237373968884225,0.44876046490065147,0.26531727344193623,-0.19468893557159708,close
0.11539849459786146,-0.343679197364964,-0.35878411701723156,-0.5467958459518363,close
0.27200811462853797,-0.44956150438932074,-0.8531080016725953,-0.7767955432091878,close
0.3092373881401123,-0.1721729112711207,-0.26004234880756516,-0.6218811333134907,close
0.6116035258637437,-0.1925970740367816,-0.36969107115477623,-0.5224180071566741,close
0.3621344285362785,0.5232475186422016,0.32774509790824596,-0.011486830278041118,close
0.14403974648680348,-0.6160688292105838,-1.0796682527002932,-0.8453162304097066,close
0.3731052082186908,-0.12975855383663298,-0.357669021316777,-0.5969112252268534,close
0.4025327632513853,-0.19652430526440012,-0.4221417996070311,-0.5856555226907817,close
0.9869759222715653,0.2522499346771052,-0.12835271412225802,-0.33978682042049335,close
0.8116271560041579,0.45121298421511447,0.3207979692272396,0.036416419690286354,close
0.4000715107466654,-0.5264187215812108,-0.6464723399080287,-0.5621510682050506,close
0.4669870471006256,-0.14232679702043627,-0.3294041805912785,-0.28416091738774174,close
0.41125198676804503,-0.07437443731128343,-0.23884213125786088,-0.39653273670491157,close
0.30776048232561354,-0.23212632453030696,-0.35082759131104957,-0.46299277489961704,close
0.27662505446443253,-0.45010628356335536,-0.3980515924227014,-0.47225377393629364,close
0.3133291042250115,-0.09940977759296254,-0.30437609800375487,-0.47055980715998386,close
0.19203056351809966,-0.4107093557870468,-0.6246738540288731,-0.47711239028866903,close
0.2683853316020177,-0.3492748470724941,-0.8430844643939176,-0.6195998153851113,close
0.2286698271001107,-0.23345251495571737,-0.3891768157351102,-0.8106927401685842,close
0.23327542945563698,-0.4331273047469397,-0.7565425061456357,-0.7071925726087114,close
0.32216119175921704,-0.2728163496142886,-0.5145155029485106,-1.020741616849631,close
0.2631935209571296,-0.24748481357654178,-0.6109797261910715,-0.8173554192069113,close
0.2922091471688034,-0.28903760563379416,-0.5358133661213476,-0.7280458492316448,close
0.2674788649924757,-0.5317033563399408,-0.6841869717217816,-0.7296363820128796,close
0.3175216601620695,-0.43073568095909986,-0.843825471995619,-0.6745828187363921,close
0.1749117653502877,-0.42948820374742097,-0.4254332411542758,-0.7198825408749645,close
0.3611963517508941,-0.23063629097987018,-0.7770446147347931,-0.7387495740436615,close
