delta,theta,alpha,beta,mano
1.9764974137605784,1.3472584728542154,1.0993754446874582,0.8140447205145089,open
1.9765019060738778,1.3472362100253295,1.0993350552752392,0.8140263453902874,open
1.7024606930655974,1.6326975577133187,1.394030615469966,0.8550395820394997,open
1.7316570301182725,1.4675696933244526,1.1886817999458537,0.8349131285425105,open
1.8544143123220487,1.3530856702904448,1.2233749933250422,0.8059043945654958,open
1.5431568830412914,1.4795917282455195,1.3971278044468192,1.0562917566493992,open
1.976502082745005,1.3472709421349998,1.0993962737412482,0.8141110358375707,open
1.5285019335476733,1.6031915469683504,1.422026080776589,0.8958469473438523,open
1.7453396578798748,1.5909311185765171,1.4598234315718543,0.8462064746269905,open
1.0432507377024574,1.408592943962411,1.5999406175388133,1.1457940816467462,open
1.8574957461283266,1.3210788884326208,1.4237823845257331,0.9774279612910366,open
1.7866476095144,1.5559170196354501,1.4854168463137465,0.9783997577334759,open
1.7001834741179918,1.5799850043479096,1.4505917393718277,0.8654392054718554,open
1.8327159884130688,1.2773018804121379,1.0884502265119558,0.5872744119676053,open
1.9898419153209952,1.360599014985161,1.1127216644520599,0.8274020381978858,open
1.9898419153209952,1.360599014985161,1.1127216644520599,0.8274020381978858,open
1.9567831716409256,1.3524123873270273,1.1417725290195107,0.825162442637779,open
1.681618002612356,1.546396999562821,0.956090329070109,0.915316149217274,open
1.593880397187166,1.6408511925737221,1.0953062576389296,0.8935506997979412,open
1.8896079826660963,1.3708447789487561,1.3058358499350362,1.104629061317807,open
1.976333796314008,1.3468111242091483,1.0986827898763925,0.8115679964937882,open
1.9764921134615565,1.3472452496532215,1.0993845746575224,0.8140454857637471,open
1.7236307929353814,1.4445740710611215,1.197930951082836,0.8132485004689906,open
1.6199473953493009,1.6070120176048095,0.9086192060496088,0.8823076243470008,open
1.7074048761818492,1.6251855392821455,1.3979488087626732,0.8144477527753663,open
1.8590815077569334,1.371033820811994,1.2402844386810896,0.8178546884168287,open
1.9167245773576962,1.3374984593322448,1.1603513534379357,0.8144737440384853,open
1.6384417877549076,1.6364349578004513,1.1735638316566608,0.8401501571514581,open
1.9765169084464267,1.3472741012406575,1.0993862738823446,0.8141176506054505,open
1.441936940792003,1.5468243933595824,1.541607731463102,1.0700918833305288,open
1.7664530859805563,1.5799592327580123,1.4852867916756456,0.92632187323184,open
1.5054132766372328,1.538135343578168,1.0471244204505716,1.0193518410698217,open
1.9286054548586835,1.2361650337678964,0.9611446973128649,0.461815180245283,open
1.976519809768623,1.3472782096342097,1.0993824954705074,0.8140946216470836,open
1.976500927195463,1.3472501108902557,1.0993878642921855,0.8140389718219352,open
1.6998066431759573,1.6330788306920463,1.3874768889538387,0.8473875175117692,open
1.778596011706583,1.457550670978532,1.3349445202744314,1.0832746172895618,open
1.6557446695999871,1.6053612677487417,1.0798975049549293,0.8863128692816268,open
1.97649947128618,1.3472591766117146,1.0993740102660374,0.8140462463893633,open
1.9478618813697401,1.339400105212683,1.1229520051372603,0.8160239660472149,open
1.983851396810381,1.3598402626766062,1.1163899460068671,0.8256541236947346,open
1.6207383361314232,1.6229620688531368,1.052786087692833,0.8335684510401098,open
1.4924031006829352,1.5049729192353172,1.4552892017540708,0.9189204633669875,open
1.6800532775099541,1.6238560042629964,1.3336350894614524,0.7779047952398321,open
1.740054295368982,1.5877054011239273,1.0926380094450656,0.8737571220957971,open
1.8400752623336638,1.3690230446481702,1.2226935533303502,0.7372116578251533,open
1.976493859848165,1.3472627634566154,1.0993689265249804,0.8140476567235233,open
1.4486732429180171,1.5258289641129503,1.516705582075612,0.9814615979356079,open
1.915585463752461,1.2895988785897512,1.155883884272501,0.7485458703670599,open
1.797420923344402,1.4111300168279062,1.2361909014611892,0.803363025674067,open
1.9764930476861742,1.3472646378845854,1.0993704632613077,0.8140443227486079,open
1.953471644497187,1.3500563160944077,1.1089503450021176,0.818952224620057,open
1.9764339407611595,1.3472522556394804,1.0994282216985054,0.8141529264091868,open
1.9327072347458247,1.3284807738403324,1.1930848537696548,1.0146218198464008,open
1.6649900636445425,1.24115275152914,0.903070340490964,0.7856194497381732,open
1.6489850131904933,1.4870835456465203,1.121001403282835,0.8122308619131842,open
1.652543150517081,1.498140046043282,1.060504938236029,0.8056926326057976,open
1.2039727440622023,1.5435588183631812,1.4199413749455245,0.9014759406864848,open
1.459089248512937,1.4379653437592936,0.8040611633001434,0.5511383272759294,open
1.7762304151327146,1.4272242508396533,1.2322060673244375,0.8125940455134475,open
1.9764974137605784,1.3472584728542154,1.0993754446874582,0.8140447205145089,open
1.912831650449228,1.3499897661052092,1.1367194197217734,0.8051009391947189,open
1.8077621966279798,1.2958520159589175,1.1029785403468049,0.7669258290019522,open
1.423365682199356,0.9345133749913379,0.8892157603977106,0.5678708655450139,open
1.097171595518209,1.24683360657293,1.0950823778666416,0.748643702149014,open
1.5188194911749127,1.3577083853701575,1.0909790481507293,0.8796638549171079,open
1.9765025852621905,1.3472797262629987,1.099415935632854,0.8140345551805797,open
1.9429117750951082,1.2233679408891982,1.0301552600435264,0.9331009799677997,open
0.8549439726114755,1.2025652343170083,0.8956158659321185,0.9355483787238333,open
1.616763767111781,1.4875496385081095,1.2651606985213455,0.7822259112770401,open
1.7875112843210388,1.454815089931274,1.0899771228752757,0.8381983095504563,close
1.5984052474865849,1.54746122241469,0.9843070387995205,0.8272030935668451,close
1.747570721167044,1.5865996860964044,1.4580017712244664,0.8440433475205219,close
1.473332888128392,1.247940372810818,1.3178037125755901,0.9607494870624449,close
1.7495941875846246,1.4515089125260203,1.2034164857701013,0.8170510767456654,close
1.7534455131300584,1.4841184274135957,1.0391162672548855,0.8700657717294097,close
1.9897649486481257,1.3603936422761203,1.112378930875109,0.8263092159285215,close
1.721781146225154,1.619350586413504,1.45418569765547,0.9045187162094548,close
1.9764974137605784,1.3472584728542154,1.0993754446874582,0.8140447205145089,close
1.7248436069746038,1.4721496672930885,1.2223116924915065,1.0081065175436619,close
1.9898419153209952,1.360599014985161,1.1127216644520599,0.8274020381978858,close
1.824997105058557,1.4989391717408536,1.4589341376771736,1.09874698120502,close
1.8969305728038723,1.3907846944676256,1.3423390905914476,1.179745501705988,close
1.6342626837902396,1.5395598917306226,1.0347253772571912,0.8524557859875554,close
1.839837896756176,1.364853959292234,1.2312604738597608,0.8151406068634147,close
1.6716765504278803,1.4661690587341096,1.4893144653625432,0.9072717147010069,close
1.8982526633762935,1.3551334075781858,1.2138336450930107,0.8323277265267995,close
1.9764974137605784,1.3472584728542154,1.0993754446874582,0.8140447205145089,close
1.7939535667009097,1.5418934509257756,1.204685664555261,0.9270463222694678,close
1.5268731897626273,1.393772995732223,1.6133105151827396,0.99995139889307,close
1.9898419153209952,1.360599014985161,1.1127216644520599,0.8274020381978858,close
1.9898419153209952,1.360599014985161,1.1127216644520599,0.8274020381978858,close
1.9273527176880318,1.3513621637451383,1.1762875400803838,0.8249818738979008,close
1.9752997201758031,1.3468266854688544,1.1000748861501057,0.8138895665274437,close
1.6016530832065115,1.5357232982469364,1.01307947208234,0.8496373079617255,close
1.660149435662677,1.5237234475557753,1.072473608267171,0.8448988154590408,close
1.7125401937263058,1.6153209791278635,1.3988323576605648,0.790745835822432,close
1.696771457402897,1.5938686930506913,1.4655113550791732,0.9303471501981403,close
1.9254074813315605,1.3502830807564787,1.1802893845015314,0.8359470734408654,close
1.9764924922122817,1.3472572268839127,1.099395681131351,0.8140358060292663,close
1.9764974137605784,1.3472584728542154,1.0993754446874582,0.8140447205145089,close
1.9764939348639707,1.3472610506890021,1.0993730994287456,0.8140434131585256,close
1.9764874944873834,1.3472541862925003,1.099417292940041,0.8140310720774482,close
1.6053379742116771,1.549502170587851,0.9776833612607959,0.850502921068783,close
1.794115730623877,1.5028657302558925,1.4396048478651837,1.026164298855916,close
